DATE,FEDFUNDS,GS10,TB3MS,INDPRO,PAYEMS,SP500,USREC,RECPROUSM156N
1960-01-01,3.99,4.72,4.35,24.1414,54274,59.91,0,
1960-02-01,3.97,4.49,3.96,23.9266,54513,55.96,0,
1960-03-01,3.84,4.25,3.31,23.7118,54458,56.01,0,
1960-04-01,3.92,4.28,3.23,23.5238,54812,55.43,0,
1960-05-01,3.85,4.35,3.29,23.4970,54472,54.13,1,
1960-06-01,3.32,4.15,2.46,23.2016,54347,55.89,1,
1960-07-01,3.23,3.90,2.30,23.1210,54303,57.06,1,
1960-08-01,2.98,3.80,2.30,23.0941,54272,55.53,1,
1960-09-01,2.60,3.80,2.48,22.8525,54228,57.09,1,
1960-10-01,2.47,3.89,2.30,22.8256,54144,53.36,1,
1960-11-01,2.44,3.93,2.37,22.5034,53962,53.94,1,
1960-12-01,1.98,3.84,2.25,22.0737,53743,55.3,1,
1961-01-01,1.45,3.84,2.24,22.1006,53683,55.3,1,
1961-02-01,2.54,3.78,2.42,22.0737,53556,61.9,1,
1961-03-01,2.02,3.74,2.39,22.2080,53662,63.43,0,
1961-04-01,1.49,3.78,2.29,22.6645,53626,65.6,0,
1961-05-01,1.98,3.71,2.29,23.0136,53783,65.17,0,
1961-06-01,1.73,3.88,2.33,23.3358,53977,66.56,0,
1961-07-01,1.17,3.92,2.24,23.6044,54124,65.21,0,
1961-08-01,2.00,4.04,2.39,23.8192,54299,67.37,0,
1961-09-01,1.88,3.98,2.28,23.7924,54387,68.19,0,
1961-10-01,2.26,3.92,2.30,24.2489,54521,66.77,0,
1961-11-01,2.61,3.94,2.48,24.6248,54743,68.73,0,
1961-12-01,2.33,4.06,2.60,24.8396,54871,71.78,0,
1962-01-01,2.15,4.08,2.72,24.6248,54891,71.78,0,
1962-02-01,2.37,4.04,2.73,25.0276,55187,69.26,0,
1962-03-01,2.85,3.93,2.72,25.1619,55276,70.2,0,
1962-04-01,2.78,3.84,2.73,25.2156,55601,69.37,0,
1962-05-01,2.36,3.87,2.69,25.1887,55626,65.7,0,
1962-06-01,2.68,3.91,2.73,25.1350,55644,59.38,0,
1962-07-01,2.71,4.01,2.92,25.3767,55746,55.86,0,
