"DayInStudy","Date","DofW","Site","Cafe","Intervention","ZeroCal","Regular","Juice","JuiceDrink","Sports","CosTot"
1,10152009,4,"chop","fc","preint",650,461,166,99,56,1432
2,10162009,5,"chop","fc","preint",559,475,139,97,56,1326
3,10172009,6,"chop","fc","preint",159,139,58,34,17,407
4,10182009,7,"chop","fc","preint",123,128,67,37,12,367
5,10192009,1,"chop","fc","preint",582,455,133,84,51,1305
6,10202009,2,"chop","fc","preint",679,397,157,74,46,1353
7,10212009,3,"chop","fc","preint",677,422,165,77,57,1398
8,10222009,4,"chop","fc","preint",646,482,159,87,56,1430
9,10232009,5,"chop","fc","preint",655,478,154,81,42,1410
10,10242009,6,"chop","fc","preint",160,130,71,25,12,398
11,10252009,7,"chop","fc","preint",109,115,66,26,15,331
12,10262009,1,"chop","fc","preint",572,393,162,57,51,1235
13,10272009,2,"chop","fc","preint",614,450,148,87,24,1323
14,10282009,3,"chop","fc","preint",656,497,172,91,40,1456
15,10292009,4,"chop","fc","preint",644,433,180,97,46,1400
16,10302009,5,"chop","fc","preint",506,414,129,93,39,1181
17,10312009,6,"chop","fc","preint",145,130,61,21,10,367
18,11012009,7,"chop","fc","preint",151,126,72,32,15,396
19,11022009,1,"chop","fc","preint",570,404,140,88,59,1261
20,11032009,2,"chop","fc","preint",620,394,177,91,43,1325
21,11042009,3,"chop","fc","preint",573,447,162,81,55,1318
22,11052009,4,"chop","fc","dismes",650,493,198,98,60,1499
23,11062009,5,"chop","fc","dismes",605,481,178,104,58,1426
24,11072009,6,"chop","fc","dismes",149,142,63,37,16,407
25,11082009,7,"chop","fc","dismes",125,118,79,32,13,367
26,11092009,1,"chop","fc","dismes",607,451,136,78,48,1320
27,11102009,2,"chop","fc","dismes",689,490,141,80,46,1446
28,11112009,3,"chop","fc","dismes",724,499,161,97,53,1534
29,11122009,4,"chop","fc","dismes",650,496,172,74,47,1439
30,11132009,5,"chop","fc","dismes",605,476,143,111,52,1387
31,11142009,6,"chop","fc","dismes",128,123,60,27,21,359
32,11152009,7,"chop","fc","dismes",123,126,81,34,14,378
33,11162009,1,"chop","fc","dismes",633,440,131,90,51,1345
34,11172009,2,"chop","fc","dismes",660,449,154,84,69,1416
35,11182009,3,"chop","fc","dismes",666,496,143,96,55,1456
36,11192009,4,"chop","fc","dismes",763,511,185,119,53,1631
37,11202009,5,"chop","fc","dismes",605,484,139,101,30,1359
38,11212009,6,"chop","fc","dismes",145,146,73,45,16,425
39,11222009,7,"chop","fc","dismes",168,128,88,35,10,429
40,11232009,1,"chop","fc","dismes",661,525,160,85,51,1482
41,11242009,2,"chop","fc","dismes",698,533,151,88,58,1528
42,11252009,3,"chop","fc","dismes",523,429,137,100,47,1236
50,12032009,4,"chop","fc","dis ",842,600,199,103,47,1791
51,12042009,5,"chop","fc","dis ",680,508,170,131,32,1521
52,12052009,6,"chop","fc","dis ",162,150,55,26,11,404
53,12062009,7,"chop","fc","dis ",130,123,70,21,11,355
54,12072009,1,"chop","fc","dis ",665,514,146,74,53,1452
55,12082009,2,"chop","fc","dis ",640,487,161,94,50,1432
56,12092009,3,"chop","fc","dis ",715,532,195,104,68,1614
57,12102009,4,"chop","fc","dis ",715,532,171,86,66,1570
58,12112009,5,"chop","fc","dis ",138,91,30,16,5,280
59,12122009,6,"chop","fc","dis ",131,129,57,36,18,371
60,12132009,7,"chop","fc","dis ",126,115,75,27,8,351
61,12142009,1,"chop","fc","dis ",714,486,151,64,59,1474
62,12152009,2,"chop","fc","dis ",653,465,147,74,48,1387
63,12162009,3,"chop","fc","dis ",618,492,160,96,53,1419
64,12172009,4,"chop","fc","dis ",700,546,175,85,70,1576
65,12182009,5,"chop","fc","dis ",587,486,140,73,46,1332
66,12192009,6,"chop","fc","dis ",133,170,58,18,6,385
67,12202009,7,"chop","fc","dis ",118,115,65,20,8,326
68,12212009,1,"chop","fc","dis ",588,457,138,65,33,1281
