,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
1/1/1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/1960,-0.1559030518,0.768448055,1.9874547832,0.066745217,0.3178689506,-0.0283534429,0.0146725564,0.4189256115,0.1973441124,0.1534594723,-0.0047982203,0.5933086734,0.1743776919,-0.0158356448,0.5149119762,-0.0977647992,-0.226167855,-0.1454432466,-0.1491309713,0.1006157119,-0.1120188353,-0.3741620624,0.8636309542,0.2606782058,-0.1692492289,-0.0041326781,0.6616186765,0.2250444196,0.7528136952,0.0843622112,0.5021422587,0.9892429715,0.1273250379,-0.1331198515,0.003050883,0.150611201,0.1218368131,0.1740407663,0.0391910809,0.3387612846,0.0804171856,-0.2350966453,0.0008162022,-0.0520789069,2.1870660646,0.0440743728,-0.0162105725,0.3253635413,-0.0307955361,0.3038122498,0.5404950814
3/1/1960,-1.0281043901,1.4712369521,0.4871500456,-1.2426793754,0.098144872,-0.0042594688,-0.0654157313,-1.3669643044,-0.3617491164,-0.0273584142,-0.2454935648,0.5107101047,0.3467414362,-0.6647068321,-0.5519891067,-0.5415762683,-1.8463557302,-1.3844918887,-0.1696201669,-0.4589761848,-0.893461584,-0.0332998765,-0.5898304993,-0.4038469946,-0.7176146524,-1.3246063536,1.515105826,-0.6794245939,0.4430933361,0.2666881951,-0.735036045,-0.6880131833,-0.6835234727,-0.91889595,-0.1169187893,-1.0137874108,-1.0673724976,0.369872565,-0.8860850616,-0.2126013357,-0.3945603845,-0.8833605258,-0.8021791684,-0.3383559867,0.1406311062,0.0185342611,-1.24017393,-0.2613937971,-1.0210712689,-0.2552719006,-0.280065254
4/1/1960,1.1021103421,1.9447017425,0.5036741068,2.8586699454,0.09248979,1.1355329594,0.0360518261,0.3602104992,0.2690433321,0.9641517419,1.3650960869,0.9962150399,0.488661449,0.3951229637,0.0535327286,0.4938725323,2.427013092,1.3360173507,0.5671095727,0.9154481073,0.5235840598,0.1948820071,-0.4216793828,1.141089791,1.6595937653,0.9784067331,1.3774185551,1.3282780636,0.6415006598,-0.0276984523,0.4382408867,0.186527228,0.368220826,1.9077528067,0.7586533906,0.080060347,2.4862494559,0.2104481051,0.3497470199,0.050329668,1.628872473,1.5638981478,2.2445001711,1.0757220948,0.5575450149,0.5629243331,1.3182967584,0.1046620062,-0.1845438819,-0.6096840516,-0.0373637517
5/1/1960,-0.5680819213,1.2628117695,-0.037076685,-0.9962536949,-0.0355059713,-0.4820936339,-0.0752029317,-0.5182604819,0.0754976511,-0.7699809235,-0.6645101434,-0.170137701,0.3450468784,-0.7780539214,-0.5877267378,0.0338316576,-0.7034272232,-0.1511234603,-0.3899956368,0.4389836179,-0.0875735697,-0.1247726713,-1.1019310233,-0.4395887393,-1.1596128486,-0.5841163347,-0.0585778128,0.4548138357,0.602102954,-0.0606488901,0.0229415384,-0.5112976695,-0.0045946877,-0.3104774643,0.7386139561,-0.5568880406,-0.3639252779,-0.1886210637,-0.3668277496,-0.2932392742,-0.4969523174,0.8037444438,-0.5533084262,-0.5883147234,-0.3175598822,-0.0871719105,-0.3843124013,-0.2616095627,-0.4419095032,-0.3305970428,0.3591604677
6/1/1960,0.128740549,3.558698818,0.041555567,0.2361021894,-0.1229427445,0.5484290055,-0.2770307931,-0.0057942928,0.0692360663,-0.4404482377,-0.3032780385,-0.7275424874,-0.2334897487,-0.3058099503,-0.5797872345,0.1673289394,-0.372585623,-0.2739924285,-0.0844767896,0.2556300955,-0.3979852433,-0.186739447,-0.5446001976,-0.1087798032,0.0167048469,-0.1146870056,-0.011303717,0.4455221579,0.6692260731,-0.1137147493,-0.0544808134,0.130040453,-0.19006799,0.025423011,-0.0967908838,-0.5656566219,0.160040646,-0.2672500165,-0.5474868114,-0.255828754,0.2116676709,0.1861910821,-0.1956979116,-0.0013639067,-0.1816378811,-0.346675588,-0.2149988184,-0.1236506169,-0.9352754993,-0.150969366,-1.0744319249
7/1/1960,-0.2029978012,-0.9618499264,0.0915838667,-0.2441219657,-0.151528966,0.6986355588,-0.8723811632,0.3088049167,-0.094436041,0.6172402761,-0.4835378036,2.0137907714,-0.1780666797,-0.0213030696,-0.2242711947,0.4807599491,0.136945987,-0.0406919669,-0.1303604778,0.1410157146,0.2428322837,0.5032148623,-0.0029525597,0.2784865259,-0.0268595226,-0.2809985437,-0.1793905586,0.1438139752,0.5949017978,0.0363115641,-0.3411972916,0.2718232256,-0.182961365,-0.2435500335,-0.3473014864,-0.4531935233,-0.3242702831,1.3903848141,-0.5907560633,-0.0605858013,-0.3734246715,0.9207739688,0.3692225283,0.1122386318,0.0829763728,-0.5313623399,0.2089410977,0.3416428177,-0.6272111402,0.0385235483,-0.6405980238
8/1/1960,-0.0731781842,0.0180162161,0.4819714279,0.2398686627,0.0807217789,0.2486375581,1.7551464735,1.0661948821,-0.4294426122,-0.0806619777,0.3058424374,0.2632805205,-0.1202565288,-0.4375364064,-0.2439396269,0.3799940093,0.3436762648,0.1994901354,-0.6390947932,-0.4701872844,-0.0438883489,-0.0727411746,0.157471942,-0.0240577062,-0.2317489128,0.4603570782,-0.2141168583,0.5262508002,0.5567101383,-0.1890065051,0.3894178821,-0.7185390469,0.0011368027,-0.2038568829,-0.5736479591,-0.4732022981,0.0720823755,-0.4482022936,0.0178384805,-0.2460301709,0.1896675467,-0.2007989749,-0.2528643186,-0.2879487483,0.0336794152,0.255392503,-0.1531613281,-0.8822892721,-0.213231255,-0.2919204826,0.3359451062
9/1/1960,-0.1398905404,-0.879364899,0.1021598505,0.4810318022,0.0346776491,0.3166165404,-1.0945479901,-1.67017985,0.3160525234,-0.4912756072,-0.2244623686,-0.8559146866,-0.3127659267,0.0583739373,0.7290841591,0.8924794245,0.6681873128,-0.1920514946,-0.156293631,0.0882840379,0.4758106073,-0.2346472356,-0.0085523995,0.5381264173,0.2504727339,-0.2391936506,0.034207921,0.2331188473,0.1175895763,-0.0956840414,0.0959106713,-0.0170224604,0.0963175257,0.1405422261,-0.032946897,-0.2047832501,-0.085151806,-0.9385647009,-0.5981070429,-0.1108965114,-0.8693899486,0.4510466735,-0.0182201266,0.1978858233,0.2768702433,-0.1319936696,0.0047272624,-0.0300165763,0.0633534308,0.3259311115,1.4397525515
10/1/1960,-0.3340676896,0.1538848652,0.0796941478,0.2875794443,0.2403169851,0.4937863381,0.043646131,-1.1840702929,0.6333517815,0.0283174147,-0.1611793465,1.5916066705,-0.2825722543,-0.0128410857,-1.2881849733,-0.5032672924,-0.7591932834,-0.781557264,-0.1626679462,-0.2807958353,0.4104025613,-0.752976346,-0.1992511561,-0.4893589922,-0.2040152654,-0.2601133057,-0.2160256367,0.0760260016,-0.2757352291,0.4792775774,0.0240556275,-0.0363226645,-0.4621740667,0.0556751002,-0.5047846702,0.0789216911,0.0274218779,-0.0163105265,-0.1796010931,0.4263330093,-0.1111760259,0.2227918474,-0.1730832313,0.0004111923,-0.2200670264,-0.2713591495,-0.1492791008,0.1723322457,-0.6452016343,-0.1220192809,-1.6905277125
